City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,buka,40.8108,69.1986,77.16,29,20,4.7,UZ,1717971211
311,phan rang-thap cham,11.5667,108.9833,79.75,82,100,4.72,VN,1717971211
312,maymana,35.9214,64.7836,79.68,21,2,8.81,AF,1717971211
313,huarmey,-10.0681,-78.1522,68.02,76,57,9.8,PE,1717971212
314,port macquarie,-31.4333,152.9167,48.88,76,2,6.2,AU,1717971212
315,mogadishu,2.0371,45.3438,78.93,83,84,20.78,SO,1717971093
316,carutapera,-1.195,-46.02,77.14,92,75,7.29,BR,1717971212
317,arvayheer,46.2639,102.775,54.91,53,80,8.46,MN,1717971212
318,sangamner,19.5667,74.2167,77.47,71,100,7.43,IN,1717971212
319,alofi,-19.0595,-169.9187,76.89,69,83,18.41,NU,1717971213
320,olonkinbyen,70.9221,-8.7187,30.6,82,56,17.31,SJ,1717971213
321,lota,-37.0833,-73.1667,54.86,89,100,11.74,CL,1717971213
322,santa vitoria do palmar,-33.5189,-53.3681,68.81,85,99,9.46,BR,1717971213
323,wau,7.7029,27.9953,74.23,81,97,6.02,SS,1717971213
324,motueka,-41.1333,173.0167,60.1,96,88,3.94,NZ,1717971214
325,inirida,3.8653,-67.9239,77.59,91,100,0.98,CO,1717971214
326,anadyr,64.75,177.4833,48.7,57,0,11.18,RU,1717971214
327,pernio,60.2,23.1333,53.49,75,37,12.71,FI,1717971214
328,alice,27.7523,-98.0697,96.69,46,40,16.11,US,1717971214
329,nabire,-3.3667,135.4833,76.86,93,96,2.86,ID,1717971215
330,zakynthos,37.7914,20.8953,75.63,68,3,3.89,GR,1717971215
331,catole do rocha,-6.3439,-37.7467,77.58,73,100,2.48,BR,1717971215
332,karratha,-20.7377,116.8463,65.23,65,0,6.85,AU,1717971215
333,fort bragg,35.139,-79.006,90.95,47,0,4.61,US,1717971123
334,ciudad bolivar,8.1222,-63.5497,84.61,71,98,6.38,VE,1717971215
335,sparti,37.0733,22.4297,75.96,57,0,3.65,GR,1717971216
336,xinyuan,37.3,99.0,45.68,62,100,1.61,CN,1717971216
337,yarmouth,41.7057,-70.2286,66.96,81,20,5.75,US,1717971216
338,bandarbeyla,9.4942,50.8122,80.11,80,94,28.14,SO,1717971216
339,ballina,-28.8667,153.5667,54.79,81,32,7.9,AU,1717971216
340,chimbarongo,-34.7,-71.05,56.3,71,100,3.62,CL,1717971010
341,mendoza,-32.8908,-68.8272,60.21,51,64,6.42,AR,1717970947
342,la peca,-5.6111,-78.435,80.53,61,82,5.82,PE,1717971217
343,afaahiti,-17.75,-149.2833,82.27,83,98,15.59,PF,1717971217
344,keflavik,64.0049,-22.5624,48.63,71,0,10.36,IS,1717971217
345,kidal,18.4411,1.4078,98.11,16,1,2.64,ML,1717971217
